# BZB GEAR — COMPLETE PRODUCT CATALOG INDEX
# 397 products across 20 categories
# Format: SKU  [I/O]  [signals]  [max_res]  [distance]  | description

## PTZ & Video Cameras
# 100 products
  BG-ADAMO-4KDA12X-B                12G-SDI+Dante+HDMI+NDI  4K60  | 4K UHD PTZ camera with 12x optical zoom that supports video output via HDMI 2  [MULTI: includes-ndi+ includes-recording+ includes-streaming]
  BG-ADAMO-4KDA12X-B-31             12G-SDI+HDMI  4K60  | 4K UHD PTZ camera that provides high-resolution video output up to 4K@60Hz via HDMI and 12…  [MULTI: includes-streaming+ includes-tally]
  BG-ADAMO-4KDA12X-W                12G-SDI+Dante+HDMI+NDI  4K60  | 4K UHD PTZ camera capable of outputting video signals via HDMI 2  [MULTI: encoder+streamer+ includes-ndi+ includes-recording]
  BG-ADAMO-4KDA12X-W-31             12G-SDI+HDMI  4K60  | 4K UHD PTZ camera with 12x optical zoom that outputs video via HDMI 2  [MULTI: includes-ndi+ includes-streaming+ includes-tally]
  BG-ADAMO-4KDA25X-B                12G-SDI+Dante+HDMI+NDI  4K60  | 4K UHD PTZ camera with 12x optical zoom that supports HDMI 2  [MULTI: includes-ndi+ includes-recording+ includes-streaming]
  BG-ADAMO-4KDA25X-B-31             12G-SDI+HDMI  4K60  | 4K UHD PTZ camera with 12G-SDI, HDMI, USB 2  [MULTI: includes-recording+ includes-streaming+ includes-tally]
  BG-ADAMO-4KDA25X-W                12G-SDI+Dante+HDMI+NDI  4K60  | 4K UHD PTZ camera capable of streaming and outputting video in multiple formats including …  [MULTI: includes-recording+ includes-streaming+ includes-tally]
  BG-ADAMO-4KDA25X-W-31             12G-SDI+HDMI  4K60  | 4K UHD PTZ camera with 12G-SDI and HDMI outputs, capable of streaming video at resolutions…  [MULTI: includes-recording+ includes-streaming+ includes-tally]
  BG-ADAMO-4KDA31X-B-31             12G-SDI+HDMI  4K60  | 4K UHD PTZ camera with 12x optical zoom, capable of outputting video signals via HDMI 2  [MULTI: includes-recording+ includes-streaming+ includes-tally]
  BG-ADAMO-4KDA31X-W-31             12G-SDI+HDMI  4K60  | 4K UHD live streaming PTZ camera with 12G-SDI, HDMI, USB 2  [MULTI: includes-streaming+ includes-tally]
  BG-ADAMO-4KND12X-B                12G-SDI+Dante+HDMI+NDI  4K60  | 4K UHD live streaming PTZ camera with 12x optical zoom, capable of outputting video signal…  [MULTI: includes-ndi+ includes-recording+ includes-streaming]
  BG-ADAMO-4KND12X-B-31             12G-SDI+HDMI  4K60  | 4K UHD PTZ camera with 12x optical zoom that supports HDMI 2  [MULTI: includes-ndi+ includes-recording+ includes-streaming]
  BG-ADAMO-4KND12X-W                12G-SDI+Dante+HDMI+NDI  4K60  | 4K UHD PTZ camera that supports multiple output formats including HDMI 2  [MULTI: includes-ndi+ includes-recording+ includes-streaming]
  BG-ADAMO-4KND12X-W-31             12G-SDI+HDMI  4K60  | 4K UHD PTZ camera with 12x optical zoom that outputs video via HDMI 2  [MULTI: includes-recording+ includes-streaming+ includes-tally]
  BG-ADAMO-4KND25X-B                12G-SDI+Dante+HDMI+NDI  4K60  | 4K UHD PTZ camera that supports HDMI 2  [MULTI: includes-ndi+ includes-recording+ includes-streaming]
  BG-ADAMO-4KND25X-B-31             12G-SDI+HDMI  4K60  | 4K UHD PTZ camera with 12G-SDI, HDMI, USB 2  [MULTI: includes-ndi+ includes-recording+ includes-streaming]
  BG-ADAMO-4KND25X-W                12G-SDI+Dante+HDMI+NDI  4K60  | 4K UHD PTZ camera with 12x optical zoom and multiple output options including HDMI 2  [MULTI: includes-ndi+ includes-recording+ includes-streaming]
  BG-ADAMO-4KND25X-W-31             12G-SDI+HDMI  4K60  | 4K UHD PTZ camera with 12G-SDI, HDMI, USB 2  [MULTI: includes-recording+ includes-streaming+ includes-tally]
  BG-ADAMO-4KND31X-B-31             12G-SDI+HDMI  4K60  | 4K UHD PTZ camera with 12G-SDI, HDMI, USB 2  [MULTI: includes-recording+ includes-streaming+ includes-tally]
  BG-ADAMO-4KND31X-W-31             12G-SDI+HDMI  4K60  | 4K UHD PTZ camera with 12G-SDI, HDMI, USB 2  [MULTI: includes-recording+ includes-streaming+ includes-tally]
  BG-ADAMO-JR12X-B                  Dante+HDMI+NDI+SDI  1080p60  | 1080P FHD auto-tracking PTZ camera that supports HDMI, 3G-SDI, USB 2  [MULTI: includes-recording+ includes-streaming+ includes-tally]
  BG-ADAMO-JR12X-W                  Dante+HDMI+NDI+SDI  1080p60  | 1080P FHD PTZ camera with 12x optical zoom and multiple output options including HDMI, 3G-…  [MULTI: includes-recording+ includes-streaming+ includes-tally]
  BG-ADAMO-JR20X-B                  Dante+HDMI+NDI+SDI  1080p60  | 1080P FHD PTZ camera with 12x optical zoom and multiple output options including HDMI, 3G-…  [MULTI: includes-ndi+ includes-recording+ includes-streaming]
  BG-ADAMO-JR20X-W                  Dante+HDMI+NDI+SDI  1080p60  | 1080P FHD PTZ camera with 12X optical zoom, capable of outputting video signals via HDMI, …  [MULTI: includes-ndi+ includes-recording+ includes-streaming]
  BG-ADAMO-JR30X-B                  Dante+HDMI+NDI+SDI  1080p60  | 1080P FHD PTZ camera with 12x optical zoom capable of streaming video via HDMI, 3G-SDI, US…  [MULTI: includes-ndi+ includes-recording+ includes-streaming]
  BG-ADAMO-JR30X-W                  Dante+HDMI+NDI+SDI  1080p60  | 1080P FHD PTZ camera with 12x optical zoom and multiple video outputs including HDMI, 3G-S…  [MULTI: includes-recording+ includes-streaming+ includes-tally]
  BG-ADAMO-JRDA12X-B                Dante+HDMI+NDI+SDI  1080p60  | 1080P FHD PTZ camera with 12x optical zoom and multiple output options including HDMI, 3G-…  [MULTI: includes-ndi+ includes-recording+ includes-streaming]
  BG-ADAMO-JRDA12X-W                Dante+HDMI+NDI+SDI  1080p60  | 1080P FHD PTZ camera with 12x optical zoom and multiple video output options including HDM…  [MULTI: includes-ndi+ includes-recording+ includes-streaming]
  BG-ADAMO-JRDA20X-B                Dante+HDMI+NDI+SDI  1080p60  | 1080P FHD PTZ camera with 12x optical zoom and multiple video output options including HDM…  [MULTI: includes-recording+ includes-streaming+ includes-tally]
  BG-ADAMO-JRDA20X-W                Dante+HDMI+NDI+SDI  1080p60  | 1080P FHD PTZ camera with 12x optical zoom and multiple video outputs including HDMI, 3G-S…  [MULTI: includes-ndi+ includes-recording+ includes-streaming]
  BG-ADAMO-JRDA30X-B                Dante+HDMI+NDI+SDI  1080p60  | 1080P FHD PTZ camera with 12x optical zoom and multiple video output options including HDM…  [MULTI: includes-ndi+ includes-recording+ includes-streaming]
  BG-ADAMO-JRDA30X-W                Dante+HDMI+NDI+SDI  1080p60  | 1080P FHD PTZ camera with 12x optical zoom and multiple video output options including HDM…  [MULTI: includes-ndi+ includes-recording+ includes-streaming]
  BG-ADAMO-JRND12X-B                Dante+HDMI+NDI+SDI  1080p60  | 1080P FHD PTZ camera with 12x optical zoom and multiple video output options including HDM…  [MULTI: includes-ndi+ includes-recording+ includes-streaming]
  BG-ADAMO-JRND12X-W                Dante+HDMI+NDI+SDI  1080p60  | 1080P FHD auto tracking PTZ camera with 12x optical zoom and multiple video outputs includ…  [MULTI: includes-recording+ includes-streaming+ includes-tally]
  BG-ADAMO-JRND20X-B                Dante+HDMI+NDI+SDI  1080p60  | 1080P FHD PTZ camera with 12x optical zoom, capable of outputting video signals via HDMI, …  [MULTI: includes-ndi+ includes-streaming+ includes-tally]
  BG-ADAMO-JRND20X-W                Dante+HDMI+NDI+SDI  1080p60  | 1080P FHD PTZ camera with 12x optical zoom and multiple video outputs including HDMI, 3G-S…  [MULTI: includes-ndi+ includes-recording+ includes-streaming]
  BG-ADAMO-JRND30X-B                Dante+HDMI+NDI+SDI  1080p60  | 1080P FHD PTZ camera with 12x optical zoom and multiple video outputs including HDMI, 3G-S…  [MULTI: includes-recording+ includes-streaming+ includes-tally]
  BG-ADAMO-JRND30X-W                Dante+HDMI+NDI+SDI  1080p60  | 1080P FHD PTZ camera with 12X optical zoom, capable of outputting video signals via HDMI, …  [MULTI: includes-recording+ includes-streaming+ includes-tally]
  BG-AVENTO-4K                      1out  HDMI1.4+NDI+USB-C  4K30  | 4K AI-enabled dual-lens PTZ conference camera that captures video in resolutions up to 4K3…  [MULTI: includes-ndi+ includes-streaming]
  BG-B20SHA                         HDMI+SDI  1080p  | 1080P FHD camera with 20X/30X optical zoom and simultaneous HDMI, 3G-SDI, and IP streaming…  [MULTI: includes-recording+ includes-streaming]
  BG-B20SHAN                        HDMI+NDI+SDI  1080p  | The 1080P FHD 20X/30X camera streams video at resolutions up to 1080p@60Hz via HDMI, SDI, …  [MULTI: includes-ndi+ includes-recording+ includes-streaming]
  BG-B30SHA                         HDMI+SDI  1080p  | This 1080P FHD camera features a 1/2  [MULTI: includes-ndi+ includes-recording+ includes-streaming]
  BG-B30SHAN                        HDMI+NDI+SDI  1080p  | The 1080P FHD 20X/30X Streaming Box Camera provides high-definition video output at resolu…  [MULTI: includes-ndi+ includes-recording+ includes-streaming]
  BG-BPTZ-10XU                      1080p  | The Core 1080P FHD Huddle Room Camera features a 3X optical zoom and a 10X optical zoom op…
  BG-BPTZ-3XU                       1080p  | 1080p Full HD PTZ camera with 3x optical zoom and USB 2
  BG-BWEB-S                         1080p  | Full HD 1080p USB web camera with a 1/2
  BG-BWEB-W                         1080p  | Full HD 1080p USB web camera featuring a 1/2  [MULTI: includes-recording+ includes-streaming]
  BG-CAM-USB4K                      4K30  | 4K Ultra HD USB camera with a fixed focus lens and a 138° horizontal angle, capable of str…  [MULTI: includes-recording+ includes-streaming]
  BG-EPTZ-AF                        1out  4K30  | 4K UHD ePTZ USB 3  [MULTI: includes-recording+ includes-streaming]
  BG-EPTZ-UH4K                      HDMI2.0  4K30  8m  | 4K UHD ePTZ camera with HDMI 2  [MULTI: includes-ndi+ includes-streaming]
  BG-LVPTZ-20XHSP-G                 HDMI+SDI  1080p60  | Full HD PTZ camera with 12X optical zoom and simultaneous HDMI and 3G-SDI outputs, support…
  BG-LVUPTZ-12XHUS                  HDMI  1080p  | The PTZ 12X/20X Zoom camera captures video in 1080p resolution at various frame rates and …  [MULTI: includes-recording+ includes-streaming]
  BG-LVUPTZ-12XSD                   SDI  1080p  | The PTZ 12X/20X Zoom 1080P FHD camera provides high-definition video output at resolutions…
  BG-LVUPTZ-20XHUS                  HDMI  1080p  | PTZ camera with 20X optical zoom and 1080p resolution that supports HDMI and USB outputs, …  [MULTI: includes-ndi+ includes-recording+ includes-streaming]
  BG-LVUPTZ-20XSD                   SDI  1080p  | The PTZ 20X Zoom 1080P FHD camera features a 1/2
  BG-MAESTRO                        HDMI+NDI+SDI  1080p  | 8MP educational auto-tracking camera that outputs video via HDMI, SDI, and USB 3
  BG-MAESTRO-H                      HDMI+NDI+SDI  1080p  | 8MP auto-tracking camera with multiple output options including HDMI, SDI, and USB 3
  BG-ND-20XHSRP                     HDMI+NDI+SDI  1080p  | This 1080P FHD PTZ camera features a 20X optical zoom and supports HDMI, 3G-SDI, and NDI o…  [MULTI: includes-ndi+ includes-recording+ includes-streaming]
  BG-ND-30XHSRP                     HDMI+NDI+SDI  1080p  | 1080P FHD PTZ camera with 20X optical zoom and simultaneous HDMI, 3G-SDI, and NDI outputs,…  [MULTI: includes-ndi+ includes-recording+ includes-streaming]
  BG-NUCLEUS-10X                    HDMI+USB-C  4K60  | All-in-one Windows computer with an Intel i5 processor, 16GB RAM, and 512GB SSD, combined …
  BG-NUTRIX                         HDMI+NDI  4K60  | Medical-grade PTZ camera capable of streaming 4K UHD video at 60 frames per second via HDM…  [MULTI: includes-ndi+ includes-recording+ includes-streaming]
  BG-PACKSHOT-C10X                  HDMI1.4  1080p  | 1080P FHD box camera that captures video in resolutions up to 1920x1080 at 30fps, featurin…  [MULTI: includes-recording+ includes-streaming]
  BG-UC-MHD                         1080p  | 1080p USB conference camera with a built-in microphone, providing high-definition video at…
  BG-UCM-B                          | Ceiling mount designed for universal compatibility with PTZ cameras, allowing for secure i…  [MULTI: includes-recording+ includes-streaming]
  BG-UCM-G                          | Ceiling mount designed for universal compatibility with PTZ cameras, featuring adjustable …
  BG-UCM-W                          | Ceiling mount designed for universal compatibility with various PTZ cameras, allowing for …
  BG-UPTZ-12XHSU-B                  HDMI+NDI+SDI  8K30  | This Universal 1080P FHD PTZ camera features 12X optical zoom and supports multiple video …  [MULTI: includes-recording+ includes-streaming]
  BG-UPTZ-12XHSU-S                  HDMI+NDI+SDI  8K30  | Universal PTZ camera capable of streaming in 1080p resolution with 12X optical zoom, offer…  [MULTI: includes-recording+ includes-streaming]
  BG-UPTZ-12XHSU-W                  HDMI+NDI+SDI  8K30  | The Universal 1080P FHD PTZ camera features a 12X optical zoom and supports multiple video…  [MULTI: includes-recording+ includes-streaming+ production-switcher]
  BG-UPTZ-20XHSU-B                  HDMI+NDI+SDI  8K30  | Universal PTZ camera with 12X optical zoom and multiple output options including HDMI, 3G-…  [MULTI: includes-ndi+ includes-recording+ includes-streaming]
  BG-UPTZ-20XHSU-S                  HDMI+NDI+SDI  8K30  | Universal PTZ camera capable of streaming in 1080p with 12X optical zoom, supporting HDMI,…  [MULTI: includes-recording+ includes-streaming]
  BG-UPTZ-20XHSU-W                  HDMI+NDI+SDI  8K30  | Universal 1080P FHD PTZ camera with 12X optical zoom and multiple output options including…  [MULTI: includes-ndi+ includes-streaming]
  BG-UPTZ-30XHSU-B                  HDMI+NDI+SDI  8K30  | Universal PTZ camera capable of streaming in 1080p resolution with 12X optical zoom and mu…  [MULTI: includes-recording+ includes-streaming]
  BG-UPTZ-30XHSU-S                  HDMI+NDI+SDI  8K30  | Universal 1080P FHD PTZ camera with 12X optical zoom and multiple video outputs including …  [MULTI: includes-ndi+ includes-recording+ includes-streaming]
  BG-UPTZ-30XHSU-W                  HDMI+NDI+SDI  8K30  | Universal 1080P FHD PTZ camera with 12X optical zoom and multiple output options including…  [MULTI: includes-recording+ includes-streaming]
  BG-UPTZ-ND12X-B                   HDMI+NDI+SDI  8K30  | The Universal 1080P FHD PTZ camera features a 12X optical zoom lens and supports multiple …  [MULTI: includes-ndi+ includes-recording+ includes-streaming]
  BG-UPTZ-ND12X-W                   HDMI+NDI+SDI  8K30  | Universal PTZ camera with 12X optical zoom and multiple output options including HDMI, SDI…
  BG-UPTZ-ND20X-B                   HDMI+NDI+SDI  8K30  | Universal 1080P FHD PTZ camera with 12X optical zoom and multiple output options including…  [MULTI: includes-recording+ includes-streaming]
  BG-UPTZ-ND20X-W                   HDMI+NDI+SDI  8K30  | Universal PTZ camera with 12X optical zoom and multiple video outputs (HDMI, 3G-SDI, USB 3  [MULTI: includes-ndi+ includes-recording+ includes-streaming]
  BG-UPTZ-ND30X-B                   HDMI+NDI+SDI  8K30  | Universal 1080P FHD PTZ camera with 12X optical zoom and multiple output options including…  [MULTI: includes-ndi+ includes-recording+ includes-streaming]
  BG-UPTZ-ND30X-W                   HDMI+NDI+SDI  8K30  | Universal 1080P FHD PTZ camera with 12X optical zoom and multiple output options including…  [MULTI: includes-ndi+ includes-streaming]
  BG-UWM-B                          | Universal PTZ camera wall mount designed to securely attach PTZ cameras to walls, providin…
  BG-UWM-G                          | Universal PTZ camera wall mount designed to securely hold and position PTZ cameras for opt…
  BG-UWM-W                          | Universal PTZ camera wall mount designed to securely attach various brands of PTZ cameras …
  BG-VPTZ-10HSU3                    HDMI+NDI+SDI  8K30  | Compact PTZ camera capable of delivering 1080p Full HD video at up to 60 frames per second…  [MULTI: includes-recording+ includes-streaming]
  BG-VPTZ-20HSU3                    HDMI+NDI+SDI  8K30  | Compact PTZ camera capable of delivering 1080p Full HD video at up to 60 frames per second…  [MULTI: includes-audio-embed+ includes-streaming]
  BG-VPTZ-30HSU3                    HDMI+NDI+SDI  8K30  | Compact PTZ camera capable of delivering 1080p FHD video at up to 60 frames per second, wi…
  BG-VPTZN-10HSU3                   HDMI+NDI+SDI  8K30  | Compact PTZ camera capable of delivering 1080p FHD video at up to 60 frames per second wit…  [MULTI: includes-audio-embed+ includes-recording+ includes-streaming]
  BG-VPTZN-20HSU3                   HDMI+NDI+SDI  8K30  | Compact PTZ camera that captures 1080p FHD video with 10X, 20X, or 30X optical zoom, offer…  [MULTI: includes-audio-embed+ includes-recording+ includes-streaming]
  BG-VPTZN-30HSU3                   HDMI+NDI+SDI  8K30  | Compact PTZ camera capable of capturing 1080p FHD video at up to 60fps with 10X, 20X, or 3…  [MULTI: includes-recording+ includes-streaming]

## Matrix & Video Switchers
# 35 products
  BG-4K-1616MA                      16×16  HDMI2.0  8K30  | 16x16 HDMI 2
  BG-4K-44MA                        4×4  HDMI2.0  8K30  | 4x4 HDMI 2
  BG-4K-88MA                        8×8  HDMI2.0  8K30  | 8x8 4K UHD HDMI 2
  BG-4K-VP1616                      HDMI2.0  4K60  | 16x16 HDMI matrix switcher that allows any of 16 HDMI sources to be routed to any of 16 HD…  [MULTI: multiviewer+monitor+ switcher+videowall]
  BG-4K-VP44                        HDMI  4K60  | 4x4 HDMI matrix switcher that allows independent routing of 4 HDMI inputs to 4 HDMI output…  [MULTI: multiviewer+monitor+ switcher+videowall]
  BG-4K-VP44PRO                     4×4  HDMI2.0  4K60  | 4x4 HDMI matrix switcher that seamlessly routes any of 4 HDMI 2  [MULTI: includes-recording+ includes-streaming+ multiviewer+monitor]
  BG-4K-VP88                        HDMI  4K60  | 8x8 HDMI matrix switcher that allows independent routing of 8 HDMI sources to 8 HDMI outpu…  [MULTI: multiviewer+monitor+ switcher+videowall]
  BG-4K-VP99PRO                     9×9  HDMI  4K60  | 9x9 HDMI matrix switcher that allows seamless switching between 9 HDMI sources and 9 displ…  [MULTI: multiviewer+monitor+ switcher+videowall]
  BG-8K-1616MA                      16×16  HDMI2.1  8K60  | 16x16 HDMI 2
  BG-8K-22MA                        HDMI2.1  8K60  | 2x2 HDMI 2
  BG-8K-42MA                        HDMI2.1  8K60  | 4x2 HDMI 2  [MULTI: includes-audio-mix+ includes-streaming]
  BG-8K-44MA                        4×4  HDMI2.1  8K60  | 4x4 HDMI 2  [MULTI: includes-recording+ includes-streaming]
  BG-8K-88MA                        8×8  HDMI2.1  8K60  | 8x8 HDMI 2  [MULTI: includes-recording+ includes-streaming]
  BG-8K-HCS41                       DP+HDMI2.1+USB-C  8K60  | 4x1 HDMI/USB-C switcher that allows users to connect up to three HDMI sources and one USB-…
  BG-8K-HS21                        HDMI2.1  8K60  | 2x1 HDMI 2
  BG-8K-HS21A                       HDMI2.1+USB-C  8K60  | 2x1 HDMI 2
  BG-8K-HS21AR                      HDMI2.1+USB-C  8K60  | 2x1 HDMI 2
  BG-8K-HS41                        HDMI2.1  8K60  | 4x1 HDMI 2
  BG-8K-HS41A                       HDMI2.1+USB-C  8K60  | 4x1 HDMI 2
  BG-8K-HS41AR                      HDMI2.1+USB-C  8K60  | 4x1 HDMI 2
  BG-HDVS42U                        HDMI+USB-C  1080p  | 4-channel HDMI live streaming switcher that supports 1080p video input from four HDMI sour…  [MULTI: includes-audio-mix+ includes-ndi+ includes-recording]
  BG-MFVS61-G2                      HDMI+SDI+USB-C  1080p  | 6-channel video switcher that supports up to 1080p resolution for both SDI and HDMI inputs…  [MULTI: includes-audio-mix+ includes-streaming+ production-switcher]
  BG-MVS4X4-4KL                     4×4  HDMI2.0  8K30  | 4x4 HDMI matrix switcher and video wall processor that allows for seamless switching of up…  [MULTI: includes-streaming+ switcher+videowall]
  BG-MVS4X4-CV                      HDMI1.4+USB-C  8K30  5m  | 4x4 HDMI matrix switcher that seamlessly routes any of 4 HDMI inputs to any of 4 outputs, …
  BG-QUADFUSION-4K                  DP+HDMI  1080p  | 4-channel live streaming switcher that supports HDMI and DisplayPort inputs, allowing user…
  BG-QUADFUSION-JR                  DP+HDMI  1080p60  | 4-channel video switcher that supports HDMI and DisplayPort inputs, allowing users to mix …  [MULTI: includes-recording+ includes-streaming+ production-switcher]
  BG-UHD-42M                        HDMI2.0  8K30  | 4x2 HDMI matrix switcher that allows routing of any of 4 HDMI 2
  BG-UHD-QVP-4X2                    HDMI2.0  8K30  | 4x2 HDMI 2  [MULTI: includes-streaming+ multiviewer+monitor]
  BG-UHM                            1×1  HDMI2.0+USB-C  | 3-Port 4K UHD USB/HDMI camera video selector and mixer that allows for the blending of up …  [MULTI: includes-ndi+ includes-streaming]
  BG-UM44-100M-KIT                  HDBaseT+HDMI  8K30  | 4x4 HDMI/Audio matrix switcher that routes any of 4 HDMI sources to any of 4 displays over…
  BG-UM44-150L-KIT                  HDBaseT+HDMI2.0  8K30  | 4x4 HDMI matrix switcher that routes any of 4 HDMI sources to any of 4 displays over HDMI …  [MULTI: includes-ndi+ includes-streaming]
  BG-UM88-100M-KIT                  HDBaseT+HDMI  8K30  | 8x8 4K UHD HDMI/Audio matrix switcher that routes any of 8 HDMI/HDBaseT sources to any of …
  BG-UM88-150L-KIT                  HDBaseT+HDMI2.0  8K30  | 8x8 HDMI 2
  BZ-MVS4X4-4K                      HDMI2.0  8K30  | 4x4 HDMI matrix switcher and video wall processor that allows routing of up to 4 HDMI 2  [MULTI: includes-audio-embed+ switcher+videowall]
  BZB-SW-41A                        4×1  HDMI2.0  8K30  | 4x1 HDMI switcher that allows users to connect up to four HDMI sources to a single HDMI di…

## Signal Extenders (HDBaseT / Fiber / Wireless)
# 35 products
  BG-AIR4KAST                       HDMI  4K60  50m  | 4K UHD wireless HDMI sender/receiver extender kit that transmits HDMI signals up to 164ft …
  BG-AIR4KAST-MKX                   HDMI2.0+NDI  4K60  50m  | 4K60 UHD wireless HDMI extender kit that transmits HDMI 2
  BG-AIR4KAST-MKX-2RX               HDMI2.0+NDI  4K60  50m  | 4K60 UHD wireless HDMI extender kit that transmits HDMI 2
  BG-AIR4KAST-MKX-3RX               HDMI2.0+NDI  4K60  50m  | 4K60 UHD wireless HDMI extender kit that transmits HDMI 2
  BG-AIR4KAST-MKX-4RX               HDMI2.0+NDI  4K60  50m  | 4K60 UHD wireless HDMI extender kit that transmits HDMI 2
  BG-AIR4KAST-MKX-RX                HDMI2.0+NDI  4K60  50m  | 4K60 UHD wireless HDMI extender kit that transmits HDMI 2  [MULTI: includes-ndi+ includes-streaming]
  BG-AIR4KAST-PRO                   HDMI2.0+NDI  4K60  100m  | 4K60 UHD wireless HDMI sender/receiver extender kit that transmits HDMI 2
  BG-EXD-150C                       DP  8K30  150m  | 4K UHD DisplayPort 1
  BG-EXH-100C5                      HDBaseT+HDMI  8K30  | 4K UHD HDMI HDBaseT extender that transmits uncompressed 4K video and audio signals up to …  [MULTI: includes-audio-embed+ includes-streaming]
  BG-EXH-100C6                      HDMI2.0  8K30  100m  | 4K UHD HDMI/HDBaseT 3  [MULTI: includes-audio-embed+ includes-streaming]
  BG-EXH-150C                       HDMI  8K30  | 4K UHD HDMI HDBaseT long range extender that transmits HDMI signals up to 490 feet over a …
  BG-EXH-4KC7                       DP+HDBaseT+HDMI2.0+USB-C  8K30  5m  | 4K UHD HDMI/USB-C KVM HDBaseT 3
  BG-EXH-50C                        HDMI2.0  8K30  | 4K UHD HDMI extender that transmits HDMI 2  [MULTI: includes-streaming+ switcher+videowall]
  BG-EXH-50UWP-W                    DP+HDBaseT+HDMI2.0+USB-C  8K30  50m  | 4K UHD HDMI/USB-C wall plate transmitter/receiver kit that extends video and audio signals…
  BG-EXH-70C3                       HDMI2.0  4K60  70m  | 4K UHD HDMI extender that transmits HDMI 2
  BG-EXH-70C4                       HDMI2.0  4K60  70m  | 4K UHD HDMI HDBaseT extender that transmits HDMI 2
  BG-EXH-70UCWP-W                   HDBaseT+HDMI2.0+NDI+USB-C  8K30  70m  | 3x1 HDMI/USB-C wall plate switcher and HDBaseT extender kit that allows for the selection …  [MULTI: includes-ndi+ includes-streaming]
  BG-EXH-70UWP-W                    DP+HDBaseT+HDMI2.0+USB-C  8K30  70m  | 3x1 HDMI/USB-C/KVM wall plate switcher that allows users to select between three input sou…
  BG-EXH-70WP-W                     HDBaseT+HDMI2.0+NDI  8K30  | 4K UHD HDMI wall plate transmitter/receiver kit that extends HDMI signals up to 230 feet u…
  BG-EXH-8K150C                     HDMI2.1+NDI+USB-C  8K30  150m  | 8K UHD HDMI HDBaseT long-range extender that transmits HDMI 2
  BG-EXH-8KC6                       HDBaseT+HDMI2.1  8K30  60m  | 8K UHD HDMI 2  [MULTI: includes-audio-embed+ production-switcher]
  BG-EXH-8KF                        Fiber+HDMI2.1+USB-C  8K60  40m  | 8K UHD HDMI 2  [MULTI: includes-audio-embed+ includes-streaming]
  BG-EXHD-50UWP-W                   DP+HDMI2.0  8K30  50m  | 4K UHD HDMI/MDP wall plate transmitter/receiver kit that extends HDMI and DisplayPort sign…
  BG-EXHD-70UCWP-W                  DP+HDBaseT+HDMI2.0  8K30  70m  | 3x1 HDMI and Mini DisplayPort wall plate switcher that allows users to select between thre…
  BG-EXHD-70UWP-W                   DP+HDBaseT+HDMI2.0  8K30  70m  | 3x1 HDMI/MDP/KVM wall plate switcher and HDBaseT extender kit that allows for the selectio…  [MULTI: includes-recording+ includes-streaming]
  BG-EXHOC                          HDMI2.0  8K30  110m  | 4K UHD HDMI extender that transmits uncompressed HDMI 2  [MULTI: includes-ndi+ includes-recording+ includes-streaming]
  BG-EXT-H70P                       HDMI1.4  8K30  | 4K UHD HDMI extender that transmits HDMI signals over Cat5e/6 cables up to 131 feet for 4K…
  BG-EXUF                           Fiber  | 4-Port USB 2
  BG-FES12G                         12G-SDI+Fiber  1080p  | 4K UHD 12G-SDI over fiber optic extender that transmits SDI signals up to 10 kilometers (6
